username,ulasan,rating,tanggal
Wawan Irawan,mantap🫡,5,2025-10-23 14:18:11
Doni agung Febrian,bagus,5,2025-10-23 14:16:23
Reza Salma,gajelas aplikasi teh musingin bikin aplikasi teh,1,2025-10-23 12:08:43
Elvana Nana,"masih ada 10 menit sebelum keberangkatan tp tiket alokal udh close gabisa beli lewat apk gabisa pula beli langsung di loket, harus nunggu jadwal berikutnya lama lg",1,2025-10-23 10:18:01
Faiz Al Hafidz Davian,masa setiap bulan kalo mau buka apk kai disuruh upgrade terus🗿,2,2025-10-23 08:47:57
Juven AL,mantap,5,2025-10-23 07:47:05
Saprudin Usman,ok,5,2025-10-23 05:34:23
Arjuna Ireng (ALDO),lemot jaringannya...klau pakai wifi gk bisa di update...di pemesannya,3,2025-10-23 05:16:42
Fahmi's Work,"APLIKASI GA GUNA, TIDAK BISA REFUND & RESCHEDULE TIKET ONLINE, MENYUSAHKAN PENGGUNA SARAN AJA HAPUS APLIKASI INI, BIARIN BALIK KE ZAMAN BATU, BELI TIKET DI LOKET",1,2025-10-23 04:28:23
Elraiyo Anam,Lelet banget t@1 top up gak masuk masuk padahal tf berhasil dari pagi gak worth banget tll,1,2025-10-23 03:43:19
Mira Sarfina,ok,5,2025-10-23 01:55:36
Ita Rachmawati,puassss,5,2025-10-23 01:53:35
Muhammad Irfan,untuk binjai medan . slogan nya kalau bisa di persulit kenapa harus di per mudah. untuk keberangkatn 7:10 wib,1,2025-10-23 01:22:03
Nabehanun Naji,bagus,5,2025-10-23 00:26:16
midah marsya,baik,4,2025-10-22 23:37:19
Muhammad Rizky Maulana XII A 7,Minimal kalo updet akunnya jgn suka tiba tiba keluar,1,2025-10-22 22:28:12
Tutik Rahayu,lebih cepat dan mudah dalam pemesanan tiket,5,2025-10-22 21:42:55
sandi jentera,"setelah update tampilan UI nya jadi terkesan jadul, sudah bagus seperti sebelumnya",4,2025-10-22 18:36:17
Official Remix,mantap,5,2025-10-22 18:18:25
Ani kumala Sari,mines nya cuma blum bisa d pakai buat ganti tanggal keberangkatan dan pembatalan tiket,4,2025-10-22 17:34:47
A Denis Nuralam,nyari jadwal dari Kendal ke Tasik tidak ada dari Semarang ke Tasik tidak ada yg ada ongkos Semarang bandung tiket nya luar biasa mahalll,4,2025-10-22 14:25:17
Candra Aam Aminudin,good and helpful,5,2025-10-22 13:37:03
Nafang Permadi,aplikasi burik... ga jelasss kadang ga bisa... nyusahin tolol,1,2025-10-22 13:10:53
Sholih nur arifin,KAI semakin maju...,5,2025-10-22 12:34:20
Ibu Sutiyah,ANJING KAI TAMBAH RIBET AJA PERARIRANNYA BANGSAT,1,2025-10-22 11:49:16
Muhammad Syarif,"keren, terstruktur",5,2025-10-22 10:28:39
Esti Noormalia,"bagus, aman& nyaman",5,2025-10-22 09:42:01
Dimas Bagus P,"kenapa setiap mau daftar member basic ada tulisan hrus login dlu, pdhal udh login pke email yg sama",3,2025-10-22 09:23:11
Dessy Ariani,"duh saya harus loggin lagi, padahal saya sudah punya akun nya, tapi kenapa harus loggin ulang dan akhirnya saya tidak dapat masuk lagi ke Akun saya. padahal saya butuh buat pesan tiket. tolong dong aplikasinya di benahi dan tidak mengecewakan seperti ini.",1,2025-10-22 09:17:39
Deni Kamarudin,mantap,5,2025-10-22 09:00:08
Nathan Yohanes,aplikasi lelet,1,2025-10-22 08:36:27
alefia febrianto,"mudah, tapi untuk tiket bengawan agak susah",5,2025-10-22 08:06:48
Lenny Fairi,kenapa aplikasi saya tidak.bisa menyimpan tanggal yang di inginkan sehingga saya tidak.bisa beli tiket,5,2025-10-22 08:06:47
Ujang Carmana,"susah login , tolong di upgrade lagi",2,2025-10-22 06:21:27
Adi Saputra,Aplikasi Menguntungkan,5,2025-10-22 05:52:50
David Faizul A.,good,5,2025-10-22 05:21:38
adrian meier,ok mantab,5,2025-10-22 05:02:20
suyanto ngawi,mantab,4,2025-10-22 04:09:27
robi darwin,baik,5,2025-10-22 03:41:55
Muhammad Abdurohman,puas,5,2025-10-22 03:17:02
Sulaiman Mak Uncu,"saya pengguna regular KAI, nyaman menggunakan kai utk jarak jauh. usul agar KAI menyediakan welcome drink n snack utk kelas eksekutif.",5,2025-10-22 02:53:23
CV Amanah Cipta Sentosa,baik,5,2025-10-22 02:48:43
Nanang Ayah,ok,5,2025-10-22 00:55:25
Mas Abdul,"Duh ini kenapa acces gangguan dan ga bisa dibuka, sy mau pesen tiket jd ga bisa dan perjalanan sy terganggu",4,2025-10-21 23:51:07
Ritaudin,"Jadwal kenapa sering ga sesuai, jadi bikin telat, ga bisa di andalkan",1,2025-10-21 22:48:59
Uci Fahri,sangat bagus,5,2025-10-21 22:41:59
Siti Sajah,tolong yah apk nya diperbaikin pesen tiket berkali² ga muncul terus tiket gua,3,2025-10-21 22:10:35
Rahmat Maulana,"sumpah GK enak banget, aplikasi jelek. sering gangguan, dan pemberitahuan nya aplikasi ini berada dalam perbaikan, alasan apa itu, EMG ancen aplikasi nya jelek",1,2025-10-21 19:54:39
Rendi Rismawan25,ini kenapa error ya pdhl mau dipake tiketnya,2,2025-10-21 19:34:00
Vika Fauzia,baguss,5,2025-10-21 19:22:55
Fauzan Ramadhan,ini gimana sii besok saya harus berangkat ke Bandung masa lama benerin apknya,1,2025-10-21 19:04:18
Nasroh Rafa,ok,5,2025-10-21 15:57:47
Sapto Triono W,sangat mudah dan praktis,5,2025-10-21 15:10:13
Roki Oktavianus,Semakin baik,5,2025-10-21 14:05:22
Eko Hariyanto,cara mengatasi lupa sandi saat masuk,4,2025-10-21 13:17:21
nico aqra panca perwira,hampir smua kereta jurusan medan menuju tj.balai dan sebaliknya tidak memiliki pemberitahuan sudah berhenti di stasiun mana. banyak penumpang yg kelewatan stasiun tujuan. apa lagi ketika jalur mlm,1,2025-10-21 12:42:52
M. Dwi Arizqi,pake shopee pay err mulu,1,2025-10-21 12:15:14
hasanudin mz,pelayanan sangat memuaskan,5,2025-10-21 11:40:15
Iing Suhendra,Kemudahan dalam pemesanan kereta,5,2025-10-21 10:48:15
Bunda Najma,keren,5,2025-10-21 10:32:50
Sinur Potenza,"masa telat cuma satu menit ga bisa di censel, pelayanan kurang puass",1,2025-10-21 10:18:13
Andi Abc,"ok terima kasih Kai, semakin kedepan harus semakin baik",5,2025-10-21 07:56:05
W&Bi Production,goodjob,5,2025-10-21 04:45:27
Suri Ana,"masak iya akun ku secara tiba² hilang, dan mau masuk lg susah dan g bisa daftar akun baru dan g bisa juga emng akun g jelas",1,2025-10-21 02:24:34
WoNdeRFuL LiFe,"Tidak bisa diakses, jadwal kereta tidak muncul, walau sudah di restart, hapus chace , re instal , tetap saja",1,2025-10-21 00:53:15
Khairun Nisa,tolong perbaiki aplikasinya. masak susah buka jadwal eh sekalinya kebuka tiba2 udh abis aja,1,2025-10-21 00:26:47
Slamet Rahardjo,top,5,2025-10-21 00:20:45
nice anova sari,setiap di upgrade aplikasi ni selalu eror,1,2025-10-20 21:36:43
Adie Reza,sangat mudah beli tiket KAI...trimksh..,5,2025-10-20 15:34:09
δικαιοσύνη CHANNEL *Villy Tuuk *,"berkali-kali beli tiket KRL dan MRT, pas mau buka aplikasi utk tap distasiun malahan bilang sedang dalam pemeliharaan. parah...",1,2025-10-20 13:01:19
Abil,"Diupdate malah gabisa login, tulisannya dalam pemeliharaan -_-",1,2025-10-20 12:43:25
Riyadi Riyadi,good job,5,2025-10-20 11:35:50
Ahmad Fiqri,jos jis,5,2025-10-20 10:51:11
Noen Noen,Ga ribet&gampang ptunjuk'nya,5,2025-10-20 10:37:48
Eko Widianto,klo dulu pernah daftar tapi sudah lama gak kepakai dan sekarang mau daftar lg dengan nmr berbeda gak bisa ya. tolong di bantu gmn caranya untuk daftar baru lg,5,2025-10-20 09:17:18
Zahra Rinaldi,🔥,5,2025-10-20 07:09:37
Valenta Rizky,kurang informatif dan tidak tertera langkah rinci untuk mengakses pembatalan tiket kereta,1,2025-10-20 06:43:01
Kusno Supriyadi,Memudahkan pencarian dan pembelian tiket.,5,2025-10-20 05:03:07
Nasrudin Azizan,good,5,2025-10-20 03:54:57
Asih aku mana ngerti Cute,sangat puas,5,2025-10-20 03:29:31
Budiyono Yovi,terimakasih,5,2025-10-20 03:19:08
Teguh 12,tingkatkan terus pelayanan untuk Indonesia maju,5,2025-10-20 03:10:50
soim manches,good,5,2025-10-20 02:50:58
Andalas Project,keren,5,2025-10-19 23:17:10
Nurul Hidayat,tidak bisa ke buka emulator detected,2,2025-10-19 13:49:23
Muhamad Ibnu,sangat bagus aplikasi nya,5,2025-10-19 13:42:51
Pandu Hidayah,agak ribet tapi cukup ok sih,4,2025-10-19 13:26:54
Sholeh Prasetyo,"tanggal 19 okt pukul 19.35, pesan di aplikasi masih tersedia 4 seat tapi pas diklik batas pemesanan perhari 6 seat.. padahal belum pesan apa2.. gimana nih min??",2,2025-10-19 12:36:48
Muhammad zikra maulafi,"maaf bintang 2 agak kecewa sama pembaruan KAI acces, gw nyari kereta berdasarkn durasi tercepat, knp d tampilkn kereta perjalanan terawal?? mohon d maintenance lagi aplikasinya",2,2025-10-19 12:31:52
kuntoro syarip,KAI SIIIP,5,2025-10-19 11:57:29
Vijan 1967,perjalanan on time dari Jakarta ke Surabaya PP,5,2025-10-19 11:29:36
Noor Satria,praktis,5,2025-10-19 11:10:37
Sambudi,bàgus,5,2025-10-19 09:17:54
a rulla AS,"fasilitas eksekutif harga diatas 50rb an jogja -bandara YIA sama aja sama yg ekonomi harga 20rb, malah AC yg eksekutif nya macam ngga nyala.",3,2025-10-19 08:53:03
Zahra Nurhalimah - 4B,memudahkan,5,2025-10-19 08:31:07
rewang Wijaya,baik trmksh,5,2025-10-19 07:49:02
Kang Yono,ok,5,2025-10-19 07:35:40
iwan Juana yusuf,sangat mudah,5,2025-10-19 07:11:26
Silvi Felicia,👍👍👍,5,2025-10-19 06:37:00
herma ance,prosesnya ribet dan lumayan lama,3,2025-10-19 06:32:45
Habibi Noveri,Tiket yang saya pesan ngk ada di aplikasi biasanya ada ini ngk ada padahal mau berangkat tapi malah ngilang tolong di perbaiki 🙏,1,2025-10-19 06:07:20
abi adiba,ok,5,2025-10-19 05:04:29
k arif,bagus mudah di mengerti,5,2025-10-19 04:25:48
Zainudin Mohammad,"perlu pembenahan di dalam sistem pembayaranya terkadang susah, trima kasih",4,2025-10-19 04:15:14
sukardi Ewagus,cepat tepat no debat,5,2025-10-19 02:10:52
Hamdan Ibnufatoni,Alhamdulillah ada opsi pembatalan disaat ada keperluan yang lain,5,2025-10-19 01:49:01
Abe Sjahroel,Cara pembayaran terbatas. Tidak bisa dengan kartu debit lain. Dengan QRIS gagal. Dengan gopay tidak bisa. dengan Ovo gagal. dengan shopee pay error.,4,2025-10-19 01:48:17
Anjar Rizky,"sangat bagus dan memudahkan dalam pemesanan tiket tanpa perlu antri ke loket, tapi saat ini saya ingin melakukan cetak e boarding pas tidak bisa buka aplikasi, padahal saat ini saya sedang ada dalam perjalanan. tolong lekas di perbaiki agar saya dapat melakukan cetak e boarding pas.",4,2025-10-18 23:40:33
ani harumi,keren,5,2025-10-18 22:49:21
Armiati Wari,saya puas dg pelayanan KAY. Terima kasih sukses sll..,5,2025-10-18 22:46:52
Dani Zakiata Fahmi,sulit transaksinya.. mau pesan yg tanpa kursi susah banget,1,2025-10-18 22:05:38
D ri,kenapaaa fitur detail layanan lain di hpku diakunku ga bisa dibukakkkk.. mau ubah jadwal mau membatalkan mendadak jadi ga bisaaa..,2,2025-10-18 21:56:41
Abdul Majid,"beli tiket Komuter, belum di pake,/ sken kode Qr hilang ga nongol,",1,2025-10-18 21:01:41
Xxi vii,mau beli tiket harus upgrade dulu ke basic member tapi waktu di upgrade buat verifikasi OTP aja gagal terus gimana sih?,1,2025-10-18 20:27:05
ANDOKO PURNOMO,layanan sangat buruk tidak bisa menyelesaikan masalah,1,2025-10-18 17:43:56
Stevio Enos Manurung,tiket tersedia pas di beli ga bisa,1,2025-10-18 17:24:41
ANASTASYA BASYUSY ALMAS ZAHRA,"bosokkk, pembayaran gagal tapi saldo di rekening berkurang. tolong di telusuri masalah kek gini, buat ga nyaman pesan secara online",1,2025-10-18 17:22:06
Febri Alfa,"abis pembaruan, menunya gak sesimple yg lama",1,2025-10-18 15:52:35
syofian kadri,mantap,5,2025-10-18 14:15:04
aif saefudin,pemesanan cepat,5,2025-10-18 14:06:05
Sigit Eko Prasetya,"Aplikasi bagus, tapi verifikasi data anggota keluarga saat ini sulit, beberapa kali di tolak sdm. Verifikasi juga ga bisa dari internet rumah, lewat mobile juga ga bisa. Mau beli tiket anak istri tidak bisa reduksi ini. Tidak ada solusi untuk kenyamanan. Terima kasih.",2,2025-10-18 12:13:11
Erwan Purnomo,semoga semakin sukses pt kai,5,2025-10-18 12:05:48
fiezu himmah,saya coba pakai 2 hp berkali2 no seat available padahal ada di awal lihat,2,2025-10-18 09:34:06
Dwi Endang,"sangat memudahkan perjalanan,aman",5,2025-10-18 09:03:22
Anggun,"Pakai pembayaran metode Qris transaksi gagal padahal sudah sesuai bikin saldo kepotong, tiketnya gaada. Mohon diperbaiki",1,2025-10-18 08:05:16
Rio Setiawan,oke,5,2025-10-18 07:47:47
wahyu rizky,"gak bisa milih kursi, masa suami istri pisah kursi🤣 coba perbaiki lg sistemnya!",1,2025-10-18 07:41:20
Wong Larangan,"mantap, pelayanan bagus. jangan sering delay.",5,2025-10-18 06:43:49
Wilson Hermawan,"Aplikasi nya lelet, top up masuk nya delay 30 menit dan saat beli tiket selalu di batalkan",1,2025-10-18 05:39:28
rudinal alfadisy,"sy mendownload app ini cuma karna suka kehabisan tiket di loket ka lokal merak rangkas (walopun sering/banyak kursi kosong) tuk kai, lebih baik sistem tiket di ka lokal merak rangkas dihapus aja, ganti pake tap kartu/emoney saja. selain harga tiket yg 1 harga (jauh/dekat) masih banyak warga banten (terutama orang2 kampung) yg tidak instal & paham app ini. dulu waktu pake sistem nomor bangku malah lebih banyak kursi kosong yg mubazir karna orang enggan tuk menempatinya. jarak merak rangkas 1,5 j",5,2025-10-18 05:38:16
Reza Alfisyahrin Nurfiantono,mudah dan menyenangkan,5,2025-10-18 04:55:16
Eleanor Young,bikin bingung,3,2025-10-18 04:09:06
Sulistiyanto Sulistiyanto,kadang ngeselin tiba2 minta di upgrade..pas lagi ngantri....waduhhh..untung masih inget sandi nya.....,5,2025-10-18 04:01:02
Jamesron Pandiangan,bravo,5,2025-10-18 04:00:30
NITA PRASTIKAᰔᩚ,"Tolong lah kenapa sekarang tidak ada pengubah jadwal dan pembatalan tiket, kami yang jauh dari stasiun sangat kesulitan untuk mengubah dan mencancel tiket kreta, jadi adanya tiket selalu hangus terus terusan,, Tolong adakan lagi pembatalan dan pengubah jadwal melalui apk Access by KAI, dan saya akan meningkatkan pemberian bintang. Terimakasih.",2,2025-10-18 03:58:33
Andi Cahya,keren,1,2025-10-18 03:44:10
adhi tama,Aplikasi RIBETTTT..... sudah daftar tetapi suruh verif Kembali... MOHON UTK KAI untuk cek bagian vendor develop aplikasi yang ngga user friendly.... 😬😬😬😬😬,1,2025-10-18 03:06:34
Samsul Ngeslank,memudahkan perjalanan..tpi minus untuk pembatalan tiket serta pengembalian dananya lama bgt,4,2025-10-18 02:16:53
Daffa Indra pratama,mantap,4,2025-10-18 02:15:10
aa.bnrhmn_,tolonv tidak bisa upgrade ke member basic,1,2025-10-18 01:08:15
Sri Umiyani,Tiket jakarta nungguin di stasiun,5,2025-10-18 01:05:38
Inara zena,sangat keren aplikasi ini,5,2025-10-17 22:34:15
mubas adrian,"tiket sudah di bayar, tapi di aplikasi tertulis gagal bayar dan uang tidak kembali, pasti yg ngalamin ribuan orang",1,2025-10-17 17:20:22
Niko Shuici,pelayanan KAI semakin baik,5,2025-10-17 17:06:06
Yuniar Eka Wardana,sangat bagus,5,2025-10-17 17:03:33
Pandi Nurhadi,knp iy g bisa rubah jadwal sedang kn perjalanan nanti hari minggu,1,2025-10-17 15:44:53
Riyani Sandy,praktisss,5,2025-10-17 14:59:09
Soegeng Supriyanto,Sdh bagus,5,2025-10-17 14:49:50
Fitri Yana,mantap,4,2025-10-17 13:49:41
Zacky Cross,knp skrg pembayaran lewat alfamart/indomaret sdh tdk ada lagi,5,2025-10-17 13:00:29
Miosy Bakti,"apk sangat buruk, tidak bisa refund tiket, tidak bisa ganti jadwal kereta, mendingann gausah diadain online aja untuk pesan tiket, kembali ke loket di stasiun",1,2025-10-17 11:56:09
Naniek Wulandari,praktis,5,2025-10-17 11:55:46
Dan Dan,"Naik Kareta paling nyaman ya Sekarang,pesen tiket gampang tapi sayang mahal bnget harga tiketnya di atas 200.000 itu juga economi tolonglah harganya di turunkan lg",1,2025-10-17 11:43:26
nayoan akbar,"gak bisa cancel tiket,kadang eror perlu perbaikan lagi",1,2025-10-17 11:26:50
Ageng Safirais,bgus,5,2025-10-17 11:07:36
Deni Ramdan,oke sangat mudah akses nya,5,2025-10-17 11:05:43
Dimas Yuda,mantap,5,2025-10-17 10:30:26
Wendy Ikmal,layanan cancel tiket kereta lokal apa memang dipersulit ya? (mengesampingkan petugas loketnya yg sedikit judes) serius bertanya,2,2025-10-17 09:51:21
Raden Ridwansyah,bagus,5,2025-10-17 09:13:05
Adin Ambon,"motto ""anda adalah prioritas kami"", masih kurang pantas, pembatalan tiket tidak bisa melalui aplikasi, fasilitas nya tersedia dalam aplikasi tapi error terus, jadi prioritasnya belum saya rasakan, punya aplikasi hanya bantu gak ngantri aja di loket, sisanya kurang manfaat.... delete aja gitu...",1,2025-10-17 08:41:47
Faiz Pane,"semenjak kapan ini, kereta api d tiket berangkat nya 14.14 sampai sekarang 14.30, blom juga sampai kereta api nya, lokasi : bandal Khalifah lokasi saya berangkat, baru ini berkendara saya sudah 3 tahun naik kereta api seminggu 2 kli, tapi Senin berkendala",1,2025-10-17 07:30:39
taufan maulana,memuaska,5,2025-10-17 07:02:16
Widya Adi Nugroho,sangat membatu,5,2025-10-17 06:36:54
hufron hufron,ok,5,2025-10-17 06:16:07
putsoe media,"aplikasi ga jelas, sudah daftar, masa ttp gabisa di pake buat pesan tiket.",1,2025-10-17 05:49:22
Nanas Wawa,ih apaan gabisa daftar akun basic🙂 padahal email dan no telpon udh bener,1,2025-10-17 05:47:57
BINA ARTA,"Mudah,bermanfaat",5,2025-10-17 02:21:18
buyung mangkualam,terima kasih,5,2025-10-17 02:04:47
Muhammad jordy,"oke lah , harga tiket sesuai",5,2025-10-17 01:01:50
Jumadi Hidayah,"Aplikasi sudah diperbaiki tapi ini aplikasi yg menjerat konsumen. Saya pesan pakai aplikasi 4 hari sebelum keberangkatan, terus sehari setalahnya pindah kursi karena nomor kursi yg kita pilih sebelumnya berubah sendiri kena cas 25% (54rb) padahal masih banyak kursi kosong. Padahal telanjur pesan 2 tiket PP dan salah sistem. Kalau pindah jadwal hari atau jam masih masuk akal tp hanya pindah kursi kena 25%. Tolong diperbaiki karena ini BUMN yg harusnya berpihak pada rakyat bukan perusahaan swasta.",1,2025-10-17 00:23:10
Cahyono Raharjo,ribet lemot,1,2025-10-16 22:45:08
Utonk Turtusi,"bagus , semoga lebih bagus",5,2025-10-16 20:05:08
rajo ade,Nice,5,2025-10-16 16:11:09
Farid Ma'ruf,"Kami sekeluarga selalu pakai KAI jika mudik ke bekasi,kami puas pelayanannya...",5,2025-10-16 16:10:25
Regy Navyant,gak respon . beli mudah pembatalan susah smpe tiket hangus .,1,2025-10-16 15:56:41
dimas gepenk,kenapa dah apk gak bisa di ss kan kita semisal mau ngasih tau orang semisal tiket habis kan gak bisa,1,2025-10-16 15:37:05
Deeana Valencia,top aplikasi dari dulu selalu mempermudah pemesanan tiket,5,2025-10-16 15:17:16
Vandanu Sambodo,bagus,5,2025-10-16 14:20:08
Ainur Rofik,bagus,5,2025-10-16 14:01:05
Rani Mulya,memuaskan,5,2025-10-16 13:10:18
BDWN,tolong Font nya di TEBAL KAN.. KECIL AMAATTT GAK KELIHATAN,5,2025-10-16 12:45:58
Miswan Miswan,sangat membantu kita dalam perjalanan dan pemesanan tiket,5,2025-10-16 12:26:40
Awang Bejo,semakin di update semakin luar biasa pakai versi lama lebih asyik buat hp jadul saya,5,2025-10-16 12:02:25
Ridho Annauvel,"Saran min diusahakan untuk jadwal kereta nyampenya sesuai sama yang tertera di Aplikasi, beberapa kali naik kereta supas gapernah nyampe sesuai sama jam di aplikasi selalu lebih beberapa menit bahkan setengah jam an atau lebih",2,2025-10-16 11:15:30
BIMA WAHID ANDIKA PUTRA,bgst... duit kembali dipotong 25% makan tu riba gua sumpahin anak-anak lu dongo (staff finance) dan direktur KAI,1,2025-10-16 11:14:55
devi setiawan,mantap aplikasinya,5,2025-10-16 09:46:39
Farul Ragil,ok,1,2025-10-16 08:28:34
Ahmad Sukarman,dimudahkan,5,2025-10-16 08:09:09
Muhamad Mudrikh,"tolong untuk pemilihan keretanya ubah ke persi lama aja ,yang Baru bingung gak simpel kaya sebelumnya",5,2025-10-16 05:55:52
Mulyana Angkher,Aplikasi Busuk,4,2025-10-16 03:46:01
Sri Wahyuni,praktis,3,2025-10-16 03:00:32
Noffy Suryasari,TingkatKan Pelayanan dengan layanan berkwalitaz👌,5,2025-10-16 02:42:03
TAUFIQ JAYENG,Makin bagus aja,5,2025-10-16 02:01:32
Bocah serang Bojes,sangat baik,5,2025-10-16 01:16:36
Su Darti,top,5,2025-10-16 00:22:51
Wahyu Bintoro,"makin kesini,,ribet,,di suruh upgrade basic,tp gk bisa²,,udah tiket kereta mahal² skg, eh sistem KAI Access jd Ribet,,piye rugi mulu y yg d tampilkan,,makaNya jng MAHAL²",2,2025-10-15 23:14:22
Marfa adila Dila,aplikasi sering perbaikan jadi keluar masuk terus saya jadi susah pesan tiket,2,2025-10-15 23:10:20
Siti Meisa,aplikasi tidak bisa digunakan sejak 10-10-25,1,2025-10-15 22:00:04
Yuyun 123,aplikasi paling ribet .. sering keluar akun sendiri.. pemeliharaan terus.. harusnya rating nya 0,1,2025-10-15 20:02:48
Wahyu Pradana,kbanyakan gaya kbanyakan pemeliharaan dll. saya udah beli tiket melalui aplikasi jadinya ga bisa terpakai karena sistem sedang dalam pemeliharaan. ga bisa scan juga halahhhh,2,2025-10-15 18:40:03
ricki nuricksan,kog bisa aplikasi KAi muncul jadwalnya duluan aplikasi sebelah (Trav****a)? masak yg punya kereta malah belakangan muncul jadwalnya... haddduuu,3,2025-10-15 17:14:44
AI KERJA TSM,"setelah di update ko malah banyak bug? gak bisa masuk, pilihan kereta pun tidak tersedia",4,2025-10-15 16:01:42
PUrwanto Purwanto,gangguan,1,2025-10-15 15:54:02
Taslimah Nur,"update terbaru gak bagus, masa gak bisa screenshot jadwal KA, padahal sering kalo anak yg kos di luar kota mau pesan kita screenshot jadwalnya, tinggal dia pilih jam nya, skrg gak bisa... bete ah.. 👎👎👎",2,2025-10-15 12:42:09
Babi Kepet,setelah upgrade tambah lelet ketikannya... sering keluar akun sendiri. aplikasi BUMN tp konyol,1,2025-10-15 12:05:38
YANI S. ABDILLAH,Sangat efisien dari sisi waktu menggunakan Accsess by KAI untuk pemesanan tiket kemanapun. Mudah dipahami dan flexibel pembayarannya. Thanks PT KAI. Semoga bisa lebih baik lagi di masa yang akan datang.,5,2025-10-15 10:12:38
Athayya Athayya,good pertahankan dan jaga performa,5,2025-10-15 09:41:07
M Ansori Arsyad,ok,5,2025-10-15 06:53:35
Kushandoyo Condro,cukup membantu.,4,2025-10-15 06:03:59
Topo Hudoyo,cukup membantu proses mudah,5,2025-10-15 05:58:24
Muthia Fithoatika,"bagus, tp klo bs pembatalan dendanya diturunkan dibawah 25%, sktr 10 % cukup, mengingat tiket yg murah cpt hbs.",4,2025-10-15 05:20:43
Dusep Hendra,bagus cepat lagi,5,2025-10-15 03:32:42
Vizey Mohammad Yahya,makasih teeeehh 🙏🙏🙏🙏🙏 .....,5,2025-10-15 03:18:14
Wisa Songko,mudah di mengerti,5,2025-10-15 03:11:03
Rahmat Agung W,"saya pesan tiket KA Lokal bayar via OVO mengapa gak bisa nyambung?? sudah saya update, toh masih saja gabisa nyambung buat bayar. apa sudah tidak melayani bayar tiket kereta lokal via OVO???",3,2025-10-15 02:45:57
Anto Kurnianto,"HATI-HATI JANGAN DIUPGRAGE, DATA JADI HILANG, HARUS AKTIFASI KAI, SETELAH AKTIFASI TIDAK BISA DILANJUT, DAN KETIKA MEMILIH KERETA DAN TUJUAN TIDAK BISA MELAKUKAN PEMBAYARAN. APLIKASI NGGA BERGUNA.",1,2025-10-15 02:13:30
Dani Setiawan,oke,5,2025-10-15 01:37:20
Emanuel Puthut Widayanto,Aplikasi sangat ringan dan bagus,5,2025-10-14 21:00:56
Siti Kaulon,cukup mudah,2,2025-10-14 19:09:39
Amelia Srinurhayati,good job,5,2025-10-14 18:24:38
afifuddin apit,Aplikasi berjalan lancar,4,2025-10-14 17:58:37
tuan setiawan,ternyata hampir keluhan semua pengguna sama nge bug mleset Mulu ngasih jadwal keberangkatan,1,2025-10-14 15:13:06
Hanni Njeans,"Biasanya aku bisa mengecek kembali pembayaran tiket yg belum dibayar pada halaman menu. Tapi sekarang tidak muncul, kuharap dimunculkan kembali",2,2025-10-14 13:09:58
Ivan Dwi,ac kereta bocor semua mengganggu kenyamanan penumpang,1,2025-10-14 12:12:07
Riana Afrilia,"Gk bisa pembatalan tiket lewat apk untuk kereta rajabasa dan kuala stabas. klo dulu mau pergi dadakan masih bisa dapet tiket karena ada yg pembatalan tiket online. Pembatalan tiket harus ke loket langsung jdi ribet, makin susah juga dapet tiket. Kenapa kebijakannya makin ribetttttt",3,2025-10-14 10:51:29
Mama Sultan,verifikasinya lma n ribet,1,2025-10-14 10:35:27
Mayca Nathania Wakerkwa,mudah digunakan,5,2025-10-14 09:35:14
NidaTanjung Haraki,tumben lancar hahahaha,4,2025-10-14 09:04:13
Novia Andriyani,good,5,2025-10-14 08:42:45
Emi Setyono,"app tayi , login anda belom terdaftar, daftar anda sudah terdaftar, gitu Weh terus sampe ngising njet",1,2025-10-14 08:21:44
Much Firman Nasirudin,Aplikasi yg user friendly,5,2025-10-14 07:11:23
ismail adz dzaki,good,5,2025-10-14 07:01:00
Elisabeth Kusumaningsih,recomended,5,2025-10-14 04:47:49
Budi,"urusan pengaduan sangat sulit, dan lambat",1,2025-10-14 04:22:25
Antonius Antonius,roti jadqrul bajadqr5xul x2,4,2025-10-14 02:28:17
hussein aprilio,coba ka lokal kereta sudah dapat lanjut bayar tidak bisa di tekan bolak balik tetep tidak bisa mksudnya cam mana ini,3,2025-10-14 01:36:19
Vicxy Dilarose,"Kecewa dg sistem pembatalan & ubah jadwal tiket KAi area Sumatera Selatan yg hrs dilakukan lgsg di stasiun yg mana sblmnya bs dilakukan via apk KAi. Dg perubahan sistem manual spt ini mempersulit para penumpang yg domisilinya jauh dr stasiun jika hrs bolak balik batalin atw ubah jdwl tiket dadakan di stasiun tsb. Setibanya di stasiun, msh hrs antri panjang di loket tiket, sehingga yg antri pun kehabisan batas waktu pembatalan. Smoga ke dpn bs ubah jdwl & batalin tiket secara online kembali.",1,2025-10-14 01:31:57
Arifin PT HASIL FASTINDO,aplikasi ini sangat bermanfaat dan membantu sekali,5,2025-10-14 00:18:17
Victorin Mega Putri,"lemot parah, udah nunggu eh malah gak bisa cek jadwal atau transaksi. bikin emosi",1,2025-10-13 22:36:36
Dedi Redi,"aplikasinya masih kurang bagus, banyak yang harus di update lagi",1,2025-10-13 22:13:09
Ayu Astri Lestari,apk sering eror,4,2025-10-13 21:11:24
Erfi Setiono,perjalanan lebih mudah serta cepat dan aman sampai tujuan,5,2025-10-13 20:17:37
Dewi Khumaira,lebih mudah melakukan pembuatan tanpa harus ke statiun. terimakasih,5,2025-10-13 16:14:51
